courier_id,courier_vehicle,courier_city,order_date,deliveries_count,avg_delivery_minutes,avg_total_order_minutes,on_time_deliveries,late_deliveries,shift_hours,on_time_pct,deliveries_per_shift_hour
C00100,scooter,YVN,2026-05-25,3,25.67,47.67,1,2,8,0.3333,0.375
C00253,car,VND,2026-05-20,1,39.0,54.0,0,1,7,0.0,0.143
C00170,car,GYU,2026-04-04,1,24.0,53.0,0,1,9,0.0,0.111
C00206,bike,GYU,2026-04-13,1,39.0,69.0,0,1,10,0.0,0.1
C00295,bike,GYU,2026-05-25,2,19.5,44.0,1,1,10,0.5,0.2
C00125,scooter,GYU,2026-04-08,2,11.5,31.5,2,0,8,1.0,0.25
C00156,bike,YVN,2026-05-13,2,21.5,51.5,0,2,10,0.0,0.2
C00274,bike,YVN,2026-05-17,2,26.0,50.5,1,1,7,0.5,0.286
C00152,bike,KPN,2026-04-03,1,33.0,66.0,0,1,10,0.0,0.1
C00054,scooter,YVN,2026-05-10,1,30.0,68.0,0,1,7,0.0,0.143
C00223,bike,YVN,2026-05-15,1,21.0,45.0,1,0,9,1.0,0.111
C00119,bike,YVN,2026-04-03,2,27.5,55.0,0,2,9,0.0,0.222
C00033,scooter,YVN,2026-04-12,1,38.0,52.0,0,1,8,0.0,0.125
C00042,bike,YVN,2026-05-25,1,8.0,20.0,1,0,6,1.0,0.167
C00051,scooter,YVN,2026-05-06,1,25.0,45.0,1,0,10,1.0,0.1
C00269,scooter,YVN,2026-04-16,2,8.5,29.5,2,0,6,1.0,0.333
C00172,bike,YVN,2026-05-05,2,22.5,45.0,1,1,7,0.5,0.286
C00077,bike,YVN,2026-04-25,2,23.0,47.5,1,1,7,0.5,0.286
C00225,car,VND,2026-05-20,1,38.0,63.0,0,1,10,0.0,0.1
C00047,bike,GYU,2026-04-28,2,23.5,47.0,1,1,7,0.5,0.286
C00234,car,YVN,2026-05-01,2,22.5,48.5,0,2,10,0.0,0.2
C00271,bike,YVN,2026-05-13,2,14.0,46.0,1,1,9,0.5,0.222
C00216,bike,YVN,2026-05-01,1,13.0,32.0,1,0,10,1.0,0.1
C00122,bike,VND,2026-03-30,2,14.5,38.5,2,0,8,1.0,0.25
C00228,scooter,GYU,2026-04-09,1,22.0,39.0,1,0,10,1.0,0.1
C00036,scooter,DLJ,2026-04-02,1,35.0,49.0,0,1,10,0.0,0.1
C00271,bike,YVN,2026-05-11,1,18.0,40.0,1,0,9,1.0,0.111
C00047,bike,GYU,2026-05-23,1,13.0,45.0,1,0,7,1.0,0.143
C00282,scooter,YVN,2026-04-27,1,20.0,46.0,0,1,10,0.0,0.1
C00001,car,DLJ,2026-05-16,3,14.33,38.67,2,1,7,0.6667,0.429
C00020,car,GYU,2026-05-04,1,39.0,72.0,0,1,10,0.0,0.1
C00199,scooter,VND,2026-04-11,1,32.0,64.0,0,1,7,0.0,0.143
C00001,car,DLJ,2026-03-29,3,29.67,56.0,0,3,7,0.0,0.429
C00210,car,KPN,2026-04-04,2,12.0,32.5,2,0,7,1.0,0.286
C00198,car,GYU,2026-04-01,3,22.33,43.67,2,1,6,0.6667,0.5
C00069,car,DLJ,2026-04-30,1,21.0,37.0,1,0,7,1.0,0.143
C00122,bike,VND,2026-04-21,2,25.0,45.5,1,1,8,0.5,0.25
C00272,scooter,GYU,2026-05-06,4,24.75,45.25,3,1,10,0.75,0.4
C00139,scooter,YVN,2026-05-03,1,17.0,37.0,1,0,7,1.0,0.143
C00300,car,YVN,2026-05-21,1,18.0,39.0,1,0,8,1.0,0.125
C00276,scooter,KPN,2026-04-04,4,25.25,46.5,1,3,10,0.25,0.4
C00279,car,YVN,2026-05-04,1,8.0,29.0,1,0,8,1.0,0.125
C00268,bike,DLJ,2026-04-06,1,35.0,54.0,0,1,10,0.0,0.1
C00074,scooter,YVN,2026-04-15,3,21.33,47.33,1,2,9,0.3333,0.333
C00230,scooter,YVN,2026-04-03,2,26.5,41.5,1,1,9,0.5,0.222
C00167,car,YVN,2026-05-05,1,25.0,59.0,0,1,6,0.0,0.167
C00151,bike,YVN,2026-04-15,1,23.0,38.0,1,0,6,1.0,0.167
C00004,scooter,KPN,2026-04-22,1,18.0,41.0,1,0,9,1.0,0.111
C00213,scooter,YVN,2026-04-04,2,21.5,33.5,2,0,9,1.0,0.222
C00009,car,GYU,2026-04-05,4,21.0,48.0,2,2,10,0.5,0.4
C00266,car,YVN,2026-04-24,2,21.0,38.0,2,0,8,1.0,0.25
C00054,scooter,YVN,2026-05-27,1,18.0,40.0,1,0,7,1.0,0.143
C00156,bike,YVN,2026-03-29,2,34.0,47.0,0,2,10,0.0,0.2
C00110,scooter,KPN,2026-04-04,2,28.5,56.5,0,2,8,0.0,0.25
C00219,scooter,YVN,2026-03-31,2,9.0,26.0,2,0,10,1.0,0.2
C00103,bike,YVN,2026-05-26,2,15.5,37.5,2,0,9,1.0,0.222
C00080,scooter,YVN,2026-05-24,1,13.0,24.0,1,0,8,1.0,0.125
C00151,bike,YVN,2026-04-05,1,28.0,50.0,0,1,6,0.0,0.167
C00173,car,VND,2026-05-19,1,10.0,40.0,1,0,9,1.0,0.111
C00224,car,GYU,2026-04-13,2,29.0,46.5,1,1,7,0.5,0.286
C00109,bike,YVN,2026-05-12,2,30.0,41.5,1,1,7,0.5,0.286
C00284,scooter,GYU,2026-05-11,1,19.0,38.0,1,0,8,1.0,0.125
C00092,car,YVN,2026-05-25,3,25.33,51.33,1,2,9,0.3333,0.333
C00215,car,GYU,2026-05-15,1,30.0,49.0,0,1,9,0.0,0.111
C00021,scooter,GYU,2026-05-03,2,15.5,36.0,2,0,8,1.0,0.25
C00025,scooter,YVN,2026-04-20,1,39.0,56.0,0,1,6,0.0,0.167
C00078,bike,YVN,2026-04-19,2,21.0,50.5,0,2,7,0.0,0.286
C00245,car,GYU,2026-04-19,1,12.0,26.0,1,0,9,1.0,0.111
C00101,car,YVN,2026-04-10,1,20.0,52.0,0,1,7,0.0,0.143
C00104,bike,VND,2026-04-24,2,22.5,48.0,0,2,8,0.0,0.25
C00190,scooter,YVN,2026-05-07,3,21.0,51.33,0,3,8,0.0,0.375
C00278,scooter,GYU,2026-04-29,2,22.5,54.5,0,2,7,0.0,0.286
C00016,car,KPN,2026-04-28,1,24.0,58.0,0,1,6,0.0,0.167
C00073,scooter,GYU,2026-04-04,2,27.0,45.5,1,1,7,0.5,0.286
C00234,car,YVN,2026-04-20,4,15.0,46.0,2,2,10,0.5,0.4
C00060,scooter,YVN,2026-05-03,2,35.5,62.0,0,2,9,0.0,0.222
C00054,scooter,YVN,2026-04-23,1,39.0,68.0,0,1,7,0.0,0.143
C00169,scooter,YVN,2026-03-30,2,29.0,44.5,2,0,8,1.0,0.25
C00154,bike,GYU,2026-04-07,3,28.0,45.67,1,2,10,0.3333,0.3
C00279,car,YVN,2026-05-24,2,21.5,41.0,2,0,8,1.0,0.25
C00217,bike,YVN,2026-03-29,1,40.0,57.0,0,1,7,0.0,0.143
C00161,bike,GYU,2026-05-18,2,31.5,49.0,0,2,6,0.0,0.333
C00036,scooter,DLJ,2026-04-07,2,12.0,35.5,2,0,10,1.0,0.2
C00185,scooter,VND,2026-05-03,1,36.0,68.0,0,1,7,0.0,0.143
C00201,scooter,YVN,2026-05-13,2,32.5,54.5,0,2,6,0.0,0.333
C00074,scooter,YVN,2026-05-14,2,19.5,38.5,2,0,9,1.0,0.222
C00209,scooter,YVN,2026-05-06,1,29.0,50.0,0,1,10,0.0,0.1
C00179,scooter,YVN,2026-05-02,1,28.0,58.0,0,1,6,0.0,0.167
C00059,bike,GYU,2026-04-29,3,33.33,61.67,0,3,7,0.0,0.429
C00204,car,GYU,2026-05-14,1,30.0,67.0,0,1,7,0.0,0.143
C00249,scooter,YVN,2026-04-01,2,16.0,41.5,2,0,8,1.0,0.25
C00210,car,KPN,2026-05-13,1,33.0,51.0,0,1,7,0.0,0.143
C00282,scooter,YVN,2026-04-24,2,26.5,57.5,0,2,10,0.0,0.2
C00264,bike,YVN,2026-04-18,1,26.0,61.0,0,1,10,0.0,0.1
C00024,bike,YVN,2026-04-19,3,24.67,54.0,0,3,8,0.0,0.375
C00018,car,KPN,2026-05-09,4,23.0,48.75,2,2,8,0.5,0.5
C00213,scooter,YVN,2026-04-28,1,34.0,47.0,0,1,9,0.0,0.111
C00120,scooter,YVN,2026-04-06,1,36.0,59.0,0,1,6,0.0,0.167
C00254,bike,YVN,2026-04-11,3,33.0,56.0,0,3,8,0.0,0.375
C00235,scooter,YVN,2026-04-05,1,18.0,44.0,1,0,10,1.0,0.1
C00051,scooter,YVN,2026-04-23,1,32.0,45.0,1,0,10,1.0,0.1
